ProductName,ProductCode,RegularPrice,HappyPrice,Discount,Link,ImageLink
Xiaomi Redmi 13 8 / 256GB Pink,Шифра: 78174,"13,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Xiaomi Redmi 13C 4 / 128GB Navy Blue,Шифра: 77609,"8,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Xiaomi Redmi A3 4 / 128GB Blue,Шифра: 78061,"7,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Xiaomi Redmi A3 3 / 64GB Green,Шифра: 77870,"6,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
DOOGEE N55 PRO 16 / 256GB Black,Шифра: 59770,"9,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
UNIWA E1802 Dual Sim Feature phone Blue,Шифра: 78360,"1,199 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Samsung Galaxy Watch7 44mm Green,Шифра: 78242,"21,499 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Xiaomi Smart Band 8 Black,Шифра: 57233,"2,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
XIAOMI Redmi Buds 4 Lite Orange,Шифра: 56060,"1,699 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Amazfit GTS 3 Graphite Black,Шифра: 56177,"9,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
