ProductName,ProductCode,RegularPrice,HappyPrice,Discount,Link,ImageLink
Meetion C4120 Wireless Combo Black Keyboard + Mouse,Шифра: 16382,849 Ден.,499 Ден.,-41%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-c4120-wireless-combo-black-keyboard-mouse-16382,https://setec.mk/image/cache/catalog/Product/16382_0-228x228.jpg
Gembird 3-color backlight multimedia keyboard,Шифра: 58831,549 Ден.,509 Ден.,-7%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58831,https://setec.mk/image/cache/catalog/Product/58831_0-228x228.jpg
Genius RS,Шифра: 37476,519 Ден.,509 Ден.,-2%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-rs37476,https://setec.mk/image/cache/catalog/Product/37476_0-228x228.jpg
Genius RS Slim Star M200 Multimedia keyboard,Шифра: 56233,599 Ден.,559 Ден.,-7%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-rs-slim-star-m200-multimedia-keyboard56233,https://setec.mk/image/cache/catalog/Product/56233_0-228x228.jpg
Genius SlimStar 230 Keyboard,Шифра: 49176,599 Ден.,559 Ден.,-7%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-slimstar-230-keyboard49176,https://setec.mk/image/cache/catalog/Product/49176_0-228x228.jpg
Genius SlimStar 7100X Wireless Keyboard,Шифра: 59596,599 Ден.,569 Ден.,-5%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=59596,https://setec.mk/image/cache/catalog/Product/59596_0-228x228.jpg
Genius SlimStar 820 Multimedia keyboard,Шифра: 59595,599 Ден.,569 Ден.,-5%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=59595,https://setec.mk/image/cache/catalog/Product/59595_0-228x228.jpg
Meetion K815 USB Keyboard with USB HUB ( Black ),Шифра: 16379,599 Ден.,589 Ден.,-2%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-k815-usb-keyboard-with-usb-hub-black-16379,https://setec.mk/image/cache/catalog/Product/16379_0-228x228.jpg
"Gembird ""Rainbow"" backlight multimedia keyboard",Шифра: 58829,649 Ден.,599 Ден.,-8%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58829,https://setec.mk/image/cache/catalog/Product/58829_0-228x228.jpg
Genius SlimStar 230 II Keyboard,Шифра: 54500,,,,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-slimstar-230-ii-keyboard54500,https://setec.mk/image/cache/catalog/Product/54500_0-228x228.jpg
Meetion WK410 Black Chocolate Keyboard Wireless,Шифра: 17561,,,,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=17561,https://setec.mk/image/cache/catalog/Product/17561_0-228x228.jpg
ST LK-302+103,Шифра: 47689,649 Ден.,599 Ден.,-8%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/st-lk-302-10347689,https://setec.mk/image/cache/catalog/Product/47689_0-228x228.jpg
"Gembird Slim ""Rainbow"" backlight multimedia keyboard",Шифра: 58830,659 Ден.,609 Ден.,-8%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58830,https://setec.mk/image/cache/catalog/Product/58830_0-228x228.jpg
